BP.perc,DC.perc,BP.01,DC.01,Random_No,Date_Code,Track,Male.ID,Period
0.237218966,0,1,0,137,42285,1654,A,Smoke
0.665602688,0,0,0,124,42286,1662,A,Smoke
0.535324029,0,1,0,77,42287,1670,A,Smoke
0.348172546,0,0,0,70,42287,1671,A,Smoke
0.34732334,0.545717345,1,1,136,42287,1671,A,Smoke
0.887407587,0,1,0,143,42291,765,C,Smoke
0.737939859,0.452847089,1,1,19,42293,1681,A,Smoke
0.549728097,0,1,0,21,42293,1681,A,Smoke
0.45008881,0,0,0,29,42293,1681,A,Smoke
0.407074037,0.253422921,0,1,30,42293,1681,A,Smoke
0.310537733,0,0,0,61,42293,1681,A,Smoke
0.663739609,0,0,0,101,42293,1681,A,Smoke
0.204849498,0.262900143,1,1,130,42293,1681,A,Smoke
0.829192159,0.822075165,1,1,9,42293,1682,A,Smoke
0.208559302,0,1,0,52,42293,1682,A,Smoke
0.660660282,0.264238911,0,1,87,42293,1682,A,Smoke
0.528428094,0.4110129,0,1,115,42293,1682,A,Smoke
0.201257862,0.307676949,0,1,121,42293,1682,A,Smoke
